Wavelength,Bamboo_Ventral,Calophyllum inophyllum_Ventral,Celtis_australis_Ventral,Ficus benjamina (Dhoda)_Ventral,Juglans regia Bharmat (Kagzi)_Ventral,Melia_azaderch_Ventral,Morus_alba_Ventral,Prunus persica_Ventral,Prunus_cummunis_Ventral,Punica_granatum_Ventral,Putranjiva_roxburghii_Ventral,pyrus_pashia_Ventral,Ficus Benghalensis_Ventral,Juglans regia Banuri (Minakshi)_Ventral,Kydia calycina_Ventral,Lannea coromandelica_Ventral,Lantana contact_Ventral,Malotus philippensis test_Ventral,Malotus_philippensis contact pro_Ventral,Prunus armeniaca_Ventral,Prunus cornuta_Ventral,Quercus leucotrichophora_Ventral,Querus floribunda_Ventral,Rodhodendrone arboreum_Ventral,Santalm album_Ventral,Sapandus mukorossi_Ventral,Wendlandia heynei_Ventral,Jacaranda mimosifolia_Ventral,Abies pindrow_Ventral,Acacia catechu_Ventral,Acacia Modesta_Ventral,Albizia_Chinensis_Ventral,Cidrus deodadara_Chamba_jot_Ventral,Cidrus_Deodara_IHBT_Ventral,Leucaena leucocephala_Ventral,Phyllanthus emblica_Ventral,Picea smithiana (Spruce_without cone)_Ventral,Picea smithiana (With Cone)_Ventral,Pinus_roxburghii_Ventral,Taxus baccata_Ventral,Bombax ceiba_Ventral,Albizia lebbeck_Ventral,Syzygium_cumini_Ventral,Terminalia_atala_Ventral,Vitex negundo (Vanna)_Ventral,Robinia pseudoacacia (Rubinia)_Ventral,Vyul_Ventral
1922,0.102731397,0.050432889,0.080873247,0.057760352,0.104788646,0.047638822,0.042792205,0.062065354,0.055997549,0.041434151,0.039993012,0.134376862,0.027067811,0.13636188,0.06318678,0.055070243,0.080758077,0.076323807,0.085816214,0.170916293,0.051811972,0.051812335,0.076377395,0.049205169,0.068618798,0.192357106,0.218354318,0.052934674,0.045823701,0.170393066,0.106466865,0.073948037,0.032576793,0.046333358,0.110476252,0.079149107,0.057480983,0.030192313,0.024442181,0.044239509,0.053091094,0.140681961,0.045487975,0.063830201,0.033907723,0.059577727,0.053992485
1923,0.102738367,0.050341018,0.14574352,0.057738184,0.104723734,0.047683564,0.042739745,0.062108775,0.055943188,0.041417851,0.039979554,0.134091119,0.027034587,0.136499526,0.063192985,0.055092409,0.080747632,0.076387785,0.085875046,0.170873892,0.051806196,0.05183577,0.076432685,0.049233194,0.068585256,0.192267088,0.21796945,0.052876912,0.04582491,0.170328743,0.106428902,0.073880802,0.032514884,0.04627421,0.110457805,0.079146986,0.057387416,0.030187072,0.024420548,0.044223799,0.053095722,0.14072694,0.04548864,0.063797846,0.03388536,0.059533129,0.053957889
1924,0.102816143,0.050292864,0.14943738,0.057730501,0.104731704,0.047702212,0.042720678,0.062146444,0.055969643,0.041405249,0.039985396,0.133930268,0.02703792,0.13667272,0.063228416,0.055134418,0.080758154,0.076436229,0.085993448,0.170878972,0.05183198,0.051877307,0.076525285,0.049237886,0.068585999,0.192236039,0.217753278,0.052844873,0.045823605,0.170332221,0.106444603,0.073826232,0.032464274,0.046230073,0.110452986,0.079198928,0.057344856,0.030184996,0.024394556,0.044197446,0.05310703,0.140819583,0.045509058,0.063802846,0.033898929,0.059553665,0.053968491
1925,0.103005905,0.050266167,0.139035,0.057757439,0.104821864,0.047707071,0.042756636,0.062198632,0.056076973,0.041381329,0.039997386,0.133909468,0.027024108,0.136897326,0.06329582,0.055204236,0.080823947,0.076442098,0.086167568,0.170973203,0.051898674,0.051925127,0.076678665,0.04920496,0.068643614,0.192269667,0.21772147,0.05284107,0.045817101,0.170394546,0.106524568,0.073804225,0.032442741,0.046176863,0.110474905,0.079290897,0.057375556,0.030144723,0.02434878,0.044140989,0.053129361,0.14099471,0.0455582,0.063842405,0.03394438,0.059602613,0.054003975
1926,0.103210582,0.05028553,0.155859108,0.05780061,0.104976881,0.047761987,0.042799065,0.062289071,0.056179456,0.041393616,0.040063721,0.133941805,0.027068442,0.137188072,0.063371278,0.055260477,0.080852921,0.076521106,0.086373668,0.171151016,0.051959533,0.052001875,0.076820512,0.049235459,0.068721045,0.192402817,0.217796007,0.052871237,0.045809695,0.170564682,0.106618978,0.073822747,0.032438781,0.046163015,0.110543873,0.079418853,0.057372112,0.030139802,0.024361884,0.044166254,0.053139379,0.14121215,0.045613853,0.063923179,0.033993867,0.059696258,0.054060541
1927,0.103437967,0.050368486,0.17333065,0.057867859,0.10519041,0.047848058,0.042855467,0.062384331,0.056318633,0.041428196,0.040172132,0.134046636,0.027202247,0.13754511,0.063471246,0.055294421,0.080863196,0.07663275,0.086624425,0.171416508,0.052031888,0.052086726,0.076978925,0.049301565,0.068821882,0.19263073,0.218006633,0.052901352,0.045818081,0.170854442,0.106759774,0.073860355,0.032474307,0.046182837,0.110625002,0.079605171,0.057389433,0.030160368,0.024401744,0.044232828,0.053132755,0.14150322,0.045685181,0.064051131,0.034067122,0.059857792,0.05415785
1928,0.103720455,0.050443496,0.163369176,0.057971208,0.105474011,0.047899451,0.042924575,0.062533059,0.056485854,0.041501321,0.040311503,0.134192304,0.027313302,0.137917624,0.063569706,0.055385214,0.080910929,0.076779841,0.086906415,0.171710841,0.05212959,0.052244539,0.077179265,0.049354917,0.068955394,0.192898019,0.218393254,0.052983741,0.045828399,0.171200947,0.106908312,0.073935518,0.032459163,0.046246942,0.110784968,0.079845937,0.057447287,0.0302166,0.024467789,0.044289068,0.053191628,0.141828477,0.045760618,0.064198739,0.034164074,0.060082218,0.054263986
1929,0.104084348,0.050509036,0.187358644,0.058102028,0.105824979,0.048013457,0.043040241,0.062757105,0.056665449,0.041569473,0.040477772,0.134486269,0.027370515,0.138347095,0.063687968,0.055506107,0.080956236,0.077008193,0.087242244,0.172101406,0.052214723,0.052410103,0.077351801,0.04941133,0.069104797,0.193250486,0.218882136,0.053169756,0.045820342,0.171574578,0.107102137,0.074067406,0.032456238,0.046298379,0.111015351,0.080062268,0.057472407,0.030300405,0.024551538,0.044390706,0.053229681,0.142210308,0.045851627,0.064362481,0.034257404,0.060269733,0.05435734
1930,0.104471426,0.050554978,0.202485961,0.058276419,0.106171204,0.048178361,0.043180185,0.063012063,0.056866977,0.041686063,0.040642408,0.134818755,0.027429375,0.138835712,0.063817374,0.055613619,0.081041559,0.077282039,0.087596475,0.172599924,0.052322526,0.052620602,0.077523444,0.04949401,0.069297928,0.193704005,0.21941353,0.053379823,0.045868664,0.172056485,0.107359322,0.074280557,0.032478467,0.046374062,0.111303598,0.080294699,0.057576709,0.030364815,0.024619518,0.044511259,0.053267824,0.142661326,0.045961637,0.06456137,0.034354002,0.060486816,0.054446119
1931,0.104873329,0.050651473,0.174190986,0.058482365,0.106622489,0.048346893,0.04337509,0.063289538,0.057149505,0.041819597,0.040782409,0.13522897,0.027480717,0.139372178,0.063971038,0.055769175,0.081196344,0.077556495,0.087986825,0.173119362,0.05247372,0.05288156,0.077739007,0.049545091,0.06951527,0.194183244,0.220066726,0.053588688,0.045944578,0.172620084,0.107634161,0.074507766,0.032510776,0.046466638,0.111630814,0.080573108,0.057780889,0.030454592,0.024663514,0.044595753,0.053356042,0.143170445,0.046088331,0.064765483,0.034455795,0.060773817,0.054563193
